0.0019,0.0048,0.4591,0.026,0.0045,0.2057,0.3836,39,0,3,6,
0.0021,0.0072,0.4972,0.0264,0.0046,0.2999,0.4309,20,2,10,16,
0.0023,0.0085,0.541,0.0258,0.0046,0.3516,0.2732,14,16,5,14,
0.0018,0.0048,0.429,0.0253,0.0046,0.2026,0.2178,14,8,26,0,
0.0023,0.0088,0.5353,0.0265,0.0049,0.3672,0.3391,16,5,16,11,
0.0019,0.0056,0.4581,0.0242,0.0059,0.2432,0.247,43,3,0,2,
0.0019,0.0054,0.4521,0.0237,0.0055,0.2282,0.2073,26,6,8,7,
0.0022,0.0079,0.5219,0.0241,0.0057,0.3297,0.2199,23,8,16,1,
0.0021,0.0066,0.4885,0.0238,0.0073,0.278,0.2112,42,1,0,6,
0.0019,0.0192,0.4549,0.0239,0.0321,2.0777,0.3011,12,17,19,0,
0.002,0.006,0.4706,0.024,0.0117,0.2576,0.209,26,3,7,11,
0.002,0.006,0.4741,0.025,0.0622,0.2538,0.3616,38,0,10,1,
0.0022,0.0078,0.5196,0.0252,0.0286,0.3237,0.3923,38,3,6,1,
0.002,0.0062,0.4764,0.0244,0.0046,0.26,0.2241,38,0,5,6,
0.0022,0.0075,0.5107,0.0235,0.0056,0.3119,0.2144,16,11,20,1,
0.0019,0.0053,0.451,0.0248,0.0068,0.2256,0.2481,41,2,5,1,
0.0029,0.0148,99.99,0.0249,0.0055,0.6014,10.2814,23,21,0,5,
0.0019,8.7427,57.3217,0.024,0.0048,96.2476,0.2301,14,0,35,0,
0.0018,0.0283,0.4267,0.0247,0.0045,3.844,0.2397,16,2,8,21,
0.0022,0.0079,0.521,0.0251,0.0053,0.3302,0.3087,16,16,14,2,
0.002,0.0055,0.4567,0.0313,0.0123,0.2332,0.3922,30,5,14,0,
0.0019,0.0048,0.4346,0.0243,0.008,0.2043,0.5922,41,5,3,0,
0.002,0.0785,10.702,0.0268,0.0065,17.2258,2.4174,18,16,13,1,
0.0018,0.0749,0.431,0.0302,0.0109,15.9582,0.9562,25,10,13,0,
0.0019,0.0851,0.5575,0.0437,0.0102,19.581,1.0128,25,10,13,0,
0.0022,0.151,99.8521,0.0672,0.0161,14.0629,98.7504,30,11,2,5,
0.0019,0.092,0.5933,0.0227,0.0056,22.4555,12.4064,14,0,20,15,
0.0021,0.0916,0.441,0.0754,0.0508,22.3801,42.5685,27,2,4,15,
0.0018,0.1287,0.9546,1.572,0.8436,16.3715,57.7678,31,13,0,5,
0.0023,0.0929,1.5305,0.0817,0.435,22.5668,0.8921,34,1,14,0,
0,0,0,0,0,0,0,38,5,0,6,
0,0,0,0,0,0,0,19,7,10,12,
0.0018,0.0047,0.4921,0.0233,0.0042,0.2038,0.1944,35,1,0,12,
0,0,0,0,0,0,0,33,4,0,12,
,,,,,,,,,,,
